lr,lc,rc,ld,rd,lnnz,rnnz,smdm_total_latency,smsm_total_latency
113381,42933,4233,0.00860544,0.07,41890630,12722307,498994,185512
99329,63754,3157,0.00031941,0.15,2022723,30194512,22161,47175
126359,94113,1349,0.00031941,0.13,3798479,16514541,17396,32680
64180,3726,23916,0.00296184,0.13,708381,11586162,36675,116156
113464,39310,12161,0.00491597,0.1,21926787,47808862,792313,416693
52836,68274,4864,0.00952101,0.001,34345805,332133,271405,9288
40403,90904,2211,0.00160539,0.3,5896288,60302294,22801,37877
141685,11046,7196,0.00041097,0.15,643231,11925181,20166,53239
77620,23824,7966,0.00018467,0.03,341503,5693951,14847,7924
7002,34276,7315,0.00015297,0.27,36713,67699271,5234,4839
23575,8948,27730,0.00370564,0.27,781716,66996953,62619,107823
140966,54271,5749,2.09E-05,0.13,159741,40567960,32690,20061
116075,22610,9987,0.01084252,0.27,28456074,60971279,828852,857444
32906,3914,31697,8.43E-05,0.2,10858,24816783,17702,5068
137955,35382,14524,0.00078778,0.1,3845302,51389721,212294,276094
130389,74520,2007,1.65E-05,0.2,160423,29926512,14325,5409
98260,16174,8581,0.00491597,0.13,7813044,18043845,174281,165157
15559,17880,12488,0.00015297,0.17,42558,37963300,12890,6444
123371,30844,8668,0.00160539,0.13,6109075,34757461,182358,198590
27298,79766,4489,0.00163948,0.01,3569962,3581339,28725,11252
5226,6183,36112,0.00296184,0.2,95718,44659764,8573,19148
106799,17837,15074,0.00952101,0.2,18137811,53778313,722959,555376
97393,27304,10877,0.00041097,0.03,1092894,8909871,35591,29861
14070,53083,14692,0.02533638,0.01,18924549,7799590,385207,35437
47748,2131,15014,0.00160539,0.23,163390,7360783,9827,35097
88232,60784,23716,0.00182521,0.001,9788985,1441623,534054,17520
58590,32693,7041,0.00108175,0.13,2072146,29926629,36486,57292
29902,28984,38266,0.00108175,0.03,937572,33274410,81745,76994
84201,22342,9230,0.01084252,0.2,20397716,41245006,393005,385863
2931,62754,8260,0.02533638,0.07,4661285,36287038,60825,24041
49865,41784,1999,0.00082282,0.27,1714412,22559740,6210,16648
32149,36429,16534,2.09E-05,0.1,24454,60236341,44373,3922
77232,67089,4255,0.00860544,0.13,44588813,37115150,343702,233931
39010,9078,33934,0.00370564,0.15,1312402,46212117,90061,189461
110072,20278,11682,0.00860544,0.2,19208585,47382558,622798,444126
59470,41601,16892,0.00041097,0.01,1016753,7027616,42941,14283
73733,72452,704,0.00047003,0.3,2511000,15312633,3770,9113
43133,62942,2652,0.00047003,0.13,1276096,21701382,8012,19887
36458,44661,39969,0.00952101,0.005,15503072,8925613,947316,138056
48803,4118,39748,0.00047003,0.15,94477,24556103,29749,45468
141588,21428,3550,0.00018467,0.1,560287,7608172,10123,17138
63548,45979,19191,0.00056263,0.05,1643964,44120881,84423,117006
26703,74691,22749,8.43E-05,0.01,168118,16992017,49247,3553
63747,46730,22053,0.00082185,0.005,2448262,5152867,100049,19598
131722,73298,2970,0.00034241,0.07,3305963,15243092,39602,44417
33185,86416,16935,0.00952101,0.001,27304208,1463532,691706,24813
69175,16274,14814,0.00047003,0.05,529169,12055484,25878,29210
109228,25348,5275,0.00163948,0.13,4539417,17384897,72521,93938
147751,75258,10129,0.00031941,0.005,3551712,3811632,132761,14374
32314,2144,8760,0.00296184,0.15,205221,2817707,4887,14211
139897,49460,2960,0.00182521,0.05,12629356,7321594,143803,70782
83826,30839,11021,0.02533638,0.17,65497623,57781073,1374728,1055493
113894,7882,5236,0.02533638,0.13,22745018,5365824,285607,162839
142464,94820,844,0.00160539,0.3,21686349,24010189,70330,70138
119561,1522,6054,0.01084252,0.17,1973556,1566962,27799,71045
71571,86576,17575,0.01084252,0.03,67184552,45649148,1976725,455431
53559,66856,3035,0.01084252,0.0005,38825420,101458,187337,3125
81724,58758,3114,2.09E-05,0.25,100265,45750072,14531,6319
59148,13274,9381,0.01084252,0.005,8513016,622645,132433,26554
100118,11748,9226,0.00182521,0.25,2146861,27099502,56811,152398
112858,36186,11984,0.00031941,0.13,1304471,56380562,73301,154425
128860,43932,14497,0.00034241,0.005,1938426,3184489,86995,11701
4326,40343,6596,0.00370564,0.13,646812,34596220,9578,6827
33442,7980,13858,0.00041097,0.23,109680,25436471,15858,25018
127953,32276,13165,0.00370564,0.13,15304082,55241997,695309,399589
7814,59894,5017,0.00047003,0.07,219995,21037113,10838,3822
39260,76247,5278,0.00056263,0.15,1684267,60366717,30194,29867
84252,55455,8994,0.00013363,0.07,624351,34917097,39279,36571
104484,3891,5277,0.00491597,0.13,1998911,2669932,25999,58553
50720,6003,36444,0.00108175,0.17,329375,37192673,44829,134107
47679,20880,10732,0.01084252,0.05,10794459,11205034,192484,83706
14048,771,13751,0.00860544,0.15,93233,1590754,3332,10364
23231,3666,17528,0.01084252,0.15,923543,9640168,23737,51971
131503,46495,3807,0.00019487,0.27,1191490,47802468,32940,69208
42661,98275,810,0.00082282,0.3,3449722,23882852,5749,11151
124491,2989,8506,0.00019487,0.25,72515,6356963,10544,12515
41526,6876,37572,2.48E-05,0.17,7090,43921099,31188,3534
73264,36226,14057,0.00860544,0.05,22839600,25462876,548098,254696
109787,84007,12567,0.00082185,0.005,7579868,5278713,294851,39415
92892,29227,5911,0.00015297,0.23,415318,39742536,24668,49584
12871,12566,48371,0.00078778,0.1,127428,60786423,53355,47300
136773,60533,4472,2.09E-05,0.13,172872,35191674,29988,8839
12971,33483,15175,0.00182521,0.13,792721,66058274,34411,27075
77879,63025,11611,0.00013363,0.05,655911,36592561,47631,29292
41815,28148,4767,0.02533638,0.3,29821998,40258047,208897,247776
115202,59641,6193,0.00160539,0.03,11030405,11082500,218295,97268
50522,8252,10560,0.00296184,0.05,1234850,4357242,22481,36522
35557,50527,33258,0.02533638,0.005,45519939,8402353,2260542,174933
86521,33964,16898,0.00370564,0.1,10889559,57393292,437175,332223
7293,88117,3594,0.00015297,0.15,98310,47505746,14317,3486
26691,23258,14148,0.00041097,0.03,255133,9872247,17503,7660
116613,13871,7347,0.00082185,0.07,1329414,7134207,25933,48013
146723,50138,9134,0.00031941,0.13,2349750,59535716,99937,179105
12390,12503,17078,0.00056263,0.15,87166,32030299,19071,12458
146067,6562,7358,2.48E-05,0.25,23801,12072634,10336,3023
105587,27508,4739,0.00078778,0.07,2288163,9126957,29604,46523
81464,7120,25173,0.00491597,0.05,2851458,8961824,130476,175920
125857,42282,11878,0.00108175,0.13,5756540,65294101,258114,279746
128261,9592,15190,0.00034241,0.27,421271,39342141,41604,128722
25669,4966,8747,0.00082185,0.2,104775,8688468,5153,12479
40058,38153,33365,0.00108175,0.005,1653316,6365225,95479,19656
22717,23456,9074,0.00078778,0.27,419776,57471245,32217,34994
130451,3348,5445,0.00056263,0.27,245799,4923828,8755,25765
51667,59315,34324,0.00296184,0.01,9077075,20359700,521468,167222
35930,18510,43427,0.00108175,0.05,719456,40193270,78804,113626
10672,69703,3104,0.02533638,0.27,18847451,58433424,80618,98574
64621,50363,25942,0.00296184,0.03,9639487,39196463,440693,230110
45392,20350,19204,0.00013363,0.13,123441,50807587,42845,20828
44171,76085,461,0.00296184,0.3,9954267,10531483,7405,11527
90671,14282,15507,1.65E-05,0.2,21380,44297385,29630,5388
78709,24244,14016,8.43E-05,0.05,160849,16991946,25775,13283
63788,71216,18054,0.00182521,0.03,8291531,38574127,281768,166723
89490,74614,2024,0.00952101,0.001,63574769,151024,292086,20373
58210,37778,9183,0.00108175,0.03,2378882,10408478,43682,43297
31683,32508,6174,0.00015297,0.17,157556,34122834,12287,9600
2739,78424,15866,0.00018467,0.05,39677,62217421,28280,3192
84935,12015,13964,1.65E-05,0.23,16848,38591061,24626,4176
6103,20251,12405,0.00296184,0.27,366104,67833284,9938,14390
38914,15694,4996,0.01084252,0.3,6622177,23528295,50850,73489
66823,75696,25692,0.00163948,0.03,8293048,58345779,409120,258484
74994,27738,25355,0.00082185,0.05,1709621,35165355,102314,148103
66726,22607,1330,0.00163948,0.13,2473191,3910963,7292,13739
36799,5092,43610,0.00047003,0.03,88077,6662024,23425,9040
44946,23862,10346,0.00013363,0.05,143321,12345012,16096,5487
142307,8033,2625,0.00163948,0.27,1874270,5695502,15258,49099
57597,63238,755,0.00078778,0.3,2869437,14330699,4308,9590
126922,57792,10927,0.00108175,0.005,7934737,3157595,290530,35739
136659,27940,12162,0.00296184,0.15,11309213,50973075,515196,394792
149955,36504,9381,2.48E-05,0.2,135920,68490979,45959,20717
12643,99596,2325,0.00041097,0.13,517516,30104139,6248,4143
63775,44774,6798,8.43E-05,0.17,240692,51750197,19759,19747
148354,99024,4604,0.00370564,0.13,54438984,59269117,946370,466170
66980,36237,9185,0.00082487,0.13,2002126,43272073,58205,90976
141073,28126,2326,0.00160539,0.005,6369983,327166,52843,5104
149793,78568,2030,0.00082487,0.17,9707925,27118251,88427,76822
23140,8628,35039,0.00370564,0.2,739906,60468002,59864,135775
37092,15365,48284,1.65E-05,0.07,9409,51934231,50753,3064
53386,9774,22227,1.65E-05,0.27,8615,58664254,32641,4190
105119,8191,8952,0.00108175,0.15,931427,10999742,23819,78388
100983,44691,9699,0.00082282,0.07,3713475,30343085,106058,135842
117913,8575,11004,0.00019487,0.15,197035,14154596,19221,26809
